Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0, 0.1061,mg N/L,0.106149,Wed Jun 14 15:25:11 2023,1,1
STANDARD 1,,Nitrate 2, 0.0154,mg N/L,0.015446,Wed Jun 14 17:18:34 2023,1,1
STANDARD 90,,Ammonia 2.0, 0.1017,mg N/L,0.101667,Wed Jun 14 15:27:11 2023,1,1
STANDARD 90,,Nitrate 2, 0.0280,mg N/L,0.028001,Wed Jun 14 17:20:37 2023,1,1
STANDARD 91,,Ammonia 2.0, 0.1367,mg N/L,0.136713,Wed Jun 14 15:29:11 2023,1,1
STANDARD 91,,Nitrate 2, 0.0461,mg N/L,0.046080,Wed Jun 14 17:22:39 2023,1,1
STANDARD 92,,Ammonia 2.0, 0.1863,mg N/L,0.186256,Wed Jun 14 15:31:09 2023,1,1
STANDARD 92,,Nitrate 2, 0.0759,mg N/L,0.075942,Wed Jun 14 17:24:42 2023,1,1
STANDARD 93,,Ammonia 2.0, 0.3479,mg N/L,0.347875,Wed Jun 14 15:33:07 2023,1,1
STANDARD 93,,Nitrate 2, 0.1594,mg N/L,0.159380,Wed Jun 14 17:26:44 2023,1,1
STANDARD 94,,Ammonia 2.0, 0.6176,mg N/L,0.617556,Wed Jun 14 15:35:04 2023,1,1
STANDARD 94,,Nitrate 2, 0.2936,mg N/L,0.293629,Wed Jun 14 17:28:46 2023,1,1
STANDARD 95,,Ammonia 2.0, 1.0747,mg N/L,1.074700,Wed Jun 14 15:37:02 2023,1,1
STANDARD 95,,Nitrate 2, 0.5219,mg N/L,0.521890,Wed Jun 14 17:30:48 2023,1,1
STANDARD 0,,Ammonia 2.0, 0.0770,mg N/L,0.076964,Wed Jun 14 15:39:00 2023,1,1
STANDARD 0,,Nitrate 2, 0.0168,mg N/L,0.016808,Wed Jun 14 17:32:50 2023,1,1
C C V,,Ammonia 2.0, 0.9596,mg N/L,0.571297,Wed Jun 14 15:40:59 2023,1,1
C C V,,Nitrate 2, 1.0001,mg N/L,0.277731,Wed Jun 14 17:34:52 2023,1,1
C C B ,,Ammonia 2.0,-0.0355,mg N/L,0.077559,Wed Jun 14 15:42:57 2023,1,1
C C B ,,Nitrate 2,-0.0279,mg N/L,0.016314,Wed Jun 14 17:36:54 2023,1,1
63 2b,,Ammonia 2.0, 0.2168,mg N/L,0.202741,Wed Jun 14 15:44:55 2023,1,1
63 2b,,Nitrate 2, 0.0502,mg N/L,0.036179,Wed Jun 14 17:38:56 2023,1,1
55 1b,,Ammonia 2.0, 0.4350,mg N/L,0.311018,Wed Jun 14 15:46:53 2023,1,1
55 1b,,Nitrate 2, 0.1163,mg N/L,0.052994,Wed Jun 14 17:41:00 2023,1,1
29 2b,,Ammonia 2.0, 0.2852,mg N/L,0.236699,Wed Jun 14 15:48:52 2023,1,1
29 2b,,Nitrate 2, 0.0239,mg N/L,0.029491,Wed Jun 14 17:43:04 2023,1,1
30 1b,,Ammonia 2.0, 0.4892,mg N/L,0.337909,Wed Jun 14 15:50:52 2023,1,1
30 1b,,Nitrate 2, 0.0277,mg N/L,0.030458,Wed Jun 14 17:45:06 2023,1,1
38 1a,,Ammonia 2.0, 0.5031,mg N/L,0.344782,Wed Jun 14 15:52:52 2023,1,1
38 1a,,Nitrate 2, 0.0222,mg N/L,0.029070,Wed Jun 14 17:47:07 2023,1,1
31 2a,,Ammonia 2.0, 0.3397,mg N/L,0.263704,Wed Jun 14 15:54:50 2023,1,1
31 2a,,Nitrate 2, 0.0258,mg N/L,0.029983,Wed Jun 14 17:49:09 2023,1,1
28 1a,,Ammonia 2.0, 0.5442,mg N/L,0.365183,Wed Jun 14 15:56:49 2023,1,1
28 1a,,Nitrate 2, 0.0218,mg N/L,0.028965,Wed Jun 14 17:51:11 2023,1,1
39 1b,,Ammonia 2.0, 0.4270,mg N/L,0.307040,Wed Jun 14 15:58:47 2023,1,1
